Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Usage Intensity,Ownership History,Engine Power,Fuel Efficiency,Origin,Gallons Per Year,Price
Hyundai,2022,Red,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,At least 1 accident or damage reported,Yes,Yes,22.0,28.0,25.0,13256.0,6628.0,Potential Risk,40.0,10.0,Asian,265.12,38988.0
Lexus,2016,Black,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,19.0,26.0,22.5,100067.0,12508.375,Bad,84.0,6.428571428571429,Asian,555.9277777777778,19747.0
Chevrolet,2017,White,Black,Front-wheel Drive,Hybrid,1.5,I4,16.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,39032.0,5576.0,Potential Risk,24.0,15.944108526970348,American,233.14776909886538,25999.0
Mercedes-Benz,2022,White,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,10901.0,5450.5,Good,72.0,7.972054263485174,European,227.9002717850369,96750.0
Land Rover,2020,Blue,Other,Four-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,17.0,22.0,19.5,24946.0,6236.5,Good,72.0,6.5,British,319.8205128205128,61530.0
Lexus,2018,Silver/Gray,Other,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,30.0,24.5,33005.0,5500.833333333333,Potential Risk,84.0,7.0,Asian,224.52380952380952,49878.0
Chevrolet,2006,Silver/Gray,Silver/Gray,Front-wheel Drive,E85 Flex Fuel,3.5,V6,12.0,None reported,Yes,No,21.0,31.0,26.0,168810.0,9378.333333333334,Good,42.0,7.428571428571429,American,360.7051282051282,5909.0
INFINITI,2020,White,White,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,20.0,26.0,23.0,34487.0,8621.75,Good,72.0,7.666666666666667,Asian,374.85869565217394,38594.0
Chrysler,2016,Black,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,27.0,22.5,117793.0,14724.125,Bad,86.4,6.25,American,654.4055555555556,16900.0
Mazda,2010,Black,Other,Four-wheel Drive,Gasoline,2.5,I4,16.0,None reported,No,Yes,20.0,26.0,23.0,169929.0,12137.785714285714,Potential Risk,40.0,9.2,Asian,527.7298136645962,7799.0
Mercedes-Benz,2020,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,21.0,28.0,24.5,62059.0,15514.75,Good,32.0,12.25,European,633.2551020408164,28888.0
GMC,2018,Metallic,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,No,14.0,22.0,18.0,99458.0,16576.333333333332,Potential Risk,99.2,2.903225806451613,American,920.9074074074074,36450.0
Toyota,2018,White,Silver/Gray,Rear-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,No,13.0,17.0,15.0,100222.0,16703.666666666668,Good,182.4,2.631578947368421,Asian,1113.5777777777778,33871.0
Mazda,2019,Other,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,29.0,34.0,31.5,76864.0,15372.8,Bad,32.0,15.75,Asian,488.0253968253968,18970.0
Chevrolet,2022,Metallic,Black,Rear-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,25.0,27.23954849498328,26.11977424749164,4600.0,2300.0,Good,86.4,7.255492846525455,American,88.05589122658193,34790.0
Cadillac,2018,Red,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,22.0,31.0,26.5,53847.0,8974.5,Potential Risk,32.0,13.25,American,338.66037735849056,20900.0
Genesis,2022,Other,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,19.0,25.0,22.0,12413.0,6206.5,Potential Risk,84.0,6.285714285714286,Asian,282.1136363636364,50960.0
Toyota,2019,Other,Black,Four-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,Yes,Yes,17.0,20.0,18.5,49630.0,9926.0,Potential Risk,96.0,4.625,Asian,536.5405405405405,42337.0
Lexus,2019,White,Black,Rear-wheel Drive,Gasoline,5.0,V8,32.0,None reported,No,No,16.0,25.0,20.5,1938.0,387.6,Potential Risk,160.0,4.1,Asian,18.90731707317073,63488.0
Ford,2013,Silver/Gray,Silver/Gray,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,No,14.0,19.0,16.5,137820.0,12529.09090909091,Potential Risk,84.0,4.714285714285714,American,759.3388429752066,16995.0
Toyota,2019,Silver/Gray,Black,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,No,Yes,13.0,17.0,15.0,48652.0,9730.4,Potential Risk,182.4,2.631578947368421,Asian,648.6933333333334,41839.0
Toyota,2003,Red,Other,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,No,Yes,33.0,39.0,36.0,55364.0,2636.3809523809523,Potential Risk,24.0,24.0,Asian,73.23280423280423,8200.0
Ford,2015,White,Black,Four-wheel Drive,E85 Flex Fuel,5.0,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,250742.0,27860.222222222223,Potential Risk,160.0,4.783232558091105,American,1164.9118826595668,18000.0
Buick,2013,Black,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,106834.0,9712.181818181818,Bad,32.0,11.958081395227762,American,406.0928127675131,11881.0
Jeep,2022,White,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,19188.0,9594.0,Good,86.4,6.643378552904312,American,401.15130859657717,54450.0
Ford,2019,Brown,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,17.0,22.0,19.5,95411.0,19082.2,Good,84.0,5.571428571428571,American,978.574358974359,38000.0
Audi,2017,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,23.0,27.0,25.0,74672.0,10667.42857142857,Bad,32.0,12.5,European,426.69714285714286,32645.0
Ford,2023,White,Black,Four-wheel Drive,Gasoline,2.7,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,2013.0,2013.0,Good,64.80000000000001,8.857838070539081,American,84.16902065925682,68587.0
Audi,2019,White,Silver/Gray,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,29.0,25.5,23768.0,4753.6,Good,32.0,12.75,European,186.41568627450982,38286.0
Lexus,2019,White,Other,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,33.0,30.0,31.5,28419.0,5683.8,Good,40.0,12.6,Asian,180.43809523809523,36988.0
Ford,2013,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,At least 1 accident or damage reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,102502.0,9318.363636363636,Bad,99.2,3.857445611363794,American,389.62620040713284,24788.0
Toyota,2020,Silver/Gray,Silver/Gray,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,35.0,35.0,35.0,97209.0,24302.25,Good,40.0,14.0,Asian,694.35,29195.0
Toyota,2020,White,Black,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,Yes,13.0,17.0,15.0,63950.0,15987.5,Good,182.4,2.631578947368421,Asian,1065.8333333333333,45185.0
Mazda,2016,Silver/Gray,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,21.0,27.0,24.0,65021.0,8127.625,Good,40.0,9.6,Asian,338.6510416666667,24604.0
Toyota,2015,Silver/Gray,Silver/Gray,Front-wheel Drive,Hybrid,1.8,I4,16.0,At least 1 accident or damage reported,No,Yes,51.0,48.0,49.5,88261.0,9806.777777777777,Bad,28.8,27.5,Asian,198.11672278338946,16428.0
Toyota,2004,Metallic,Other,Four-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,Yes,No,18.0,21.0,19.5,233546.0,11677.3,Potential Risk,96.0,4.875,Asian,598.8358974358974,8457.0
Lexus,2018,White,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,30.0,24.5,45838.0,7639.666666666667,Potential Risk,84.0,7.0,Asian,311.82312925170066,47885.0
Lexus,2020,White,Red,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,21495.0,5373.75,Good,32.0,12.5,Asian,214.95,37181.0
Lexus,2019,Blue,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,22.0,31.0,26.5,23314.0,4662.8,Good,84.0,7.571428571428571,Asian,175.9547169811321,37900.0
Lincoln,2020,Red,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,23468.0,5867.0,Good,32.0,12.5,American,234.68,32002.0
BMW,2019,Black,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,Yes,Yes,21.0,29.0,25.0,30231.0,6046.2,Potential Risk,72.0,8.333333333333334,European,241.848,37414.0
Mercedes-Benz,2016,Black,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,21.0,29.0,25.0,25246.0,3155.75,Bad,84.0,7.142857142857143,European,126.23,31993.0
Mercedes-Benz,2017,Black,Other,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,13.0,14.0,13.5,59500.0,8500.0,Good,128.0,3.375,European,629.6296296296297,76988.0
Cadillac,2022,Black,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,18.0,26.0,22.0,6976.0,3488.0,Good,86.4,6.111111111111111,American,158.54545454545453,53900.0
Ford,2018,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,16.0,22.0,19.0,126500.0,21083.333333333332,Potential Risk,84.0,5.428571428571429,American,1109.6491228070174,21999.0
GMC,2023,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1402.0,1402.0,Good,99.2,3.857445611363794,American,58.62144409551816,114685.0
Hyundai,2023,Red,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,3000.0,3000.0,Good,32.0,11.958081395227762,Asian,125.43818280068079,22475.0
RAM,2020,White,Black,Four-wheel Drive,Gasoline,5.7,V8,16.0,None reported,Yes,Yes,19.0,24.0,21.5,56111.0,14027.75,Good,91.2,3.7719298245614032,American,652.453488372093,35985.0
Kia,2021,Other,Black,All-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,Yes,17.0,25.0,21.0,78250.0,26083.333333333332,Good,79.19999999999999,6.363636363636364,Asian,1242.063492063492,34984.0
BMW,2022,Brown,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,6442.0,3221.0,Good,72.0,7.972054263485174,European,134.67879560033094,61982.0
Lexus,2014,Black,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,18.0,24.0,21.0,102979.0,10297.9,Potential Risk,84.0,6.0,Asian,490.37619047619046,19509.0
Toyota,2015,Black,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,No,25.0,35.0,30.0,138277.0,15364.111111111111,Good,40.0,12.0,Asian,512.1370370370371,12361.0
Lexus,2019,White,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,19.0,26.0,22.5,33496.0,6699.2,Bad,84.0,6.428571428571429,Asian,297.74222222222227,39995.0
Lamborghini,2022,Blue,Other,Rear-wheel Drive,Gasoline,5.2,V10,40.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1423.0,711.5,Good,208.0,4.5992620750876005,European,29.74975568756146,304000.0
BMW,2018,Metallic,White,Rear-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,24.0,34.0,29.0,59561.0,9926.833333333334,Bad,32.0,14.5,European,342.3045977011495,26895.0
Ford,2010,Black,Black,Rear-wheel Drive,Gasoline,4.0,V6,12.0,At least 1 accident or damage reported,Yes,Yes,18.0,26.0,22.0,64819.0,4629.928571428572,Potential Risk,48.0,5.5,American,210.45129870129873,16975.0
Ford,2016,Red,Other,Four-wheel Drive,Diesel,6.7,V8,32.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,147172.0,18396.5,Good,214.4,3.569576535888884,American,769.2078432975748,37910.0
Lincoln,2020,Silver/Gray,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,17.0,24.0,20.5,54275.0,13568.75,Potential Risk,72.0,6.833333333333333,American,661.890243902439,41677.0
