Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Price
Hyundai,2022,Red,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,At least 1 accident or damage reported,Yes,Yes,22.0,28.0,25.0,13256.0,38988.0
Lexus,2016,Black,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,19.0,26.0,22.5,100067.0,19747.0
Chevrolet,2017,White,Black,Front-wheel Drive,Hybrid,1.5,I4,16.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,39032.0,25999.0
Mercedes-Benz,2022,White,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,10901.0,96750.0
Land Rover,2020,Blue,Other,Four-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,17.0,22.0,19.5,24946.0,61530.0
Lexus,2018,Silver/Gray,Other,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,30.0,24.5,33005.0,49878.0
Chevrolet,2006,Silver/Gray,Silver/Gray,Front-wheel Drive,E85 Flex Fuel,3.5,V6,12.0,None reported,Yes,No,21.0,31.0,26.0,168810.0,5909.0
INFINITI,2020,White,White,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,20.0,26.0,23.0,34487.0,38594.0
Chrysler,2016,Black,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,27.0,22.5,117793.0,16900.0
Mazda,2010,Black,Other,Four-wheel Drive,Gasoline,2.5,I4,16.0,None reported,No,Yes,20.0,26.0,23.0,169929.0,7799.0
Mercedes-Benz,2020,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,21.0,28.0,24.5,62059.0,28888.0
GMC,2018,Metallic,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,No,14.0,22.0,18.0,99458.0,36450.0
Toyota,2018,White,Silver/Gray,Rear-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,No,13.0,17.0,15.0,100222.0,33871.0
